Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
1rrad,Jungler,Baxia,0.6,4871,10,0.75,18400,97319,0
Reyy,Jungler,Baxia,4.5,9158,15,0.6,23978,100989,595
Reyy,Jungler,Baxia,6.7,9831,15,0.95,42127,170198,0
Gugunnn,Jungler,Baxia,2.7,14929,15,0.89,51170,245431,0
Gugunnn,Jungler,Baxia,2.2,7645,15,0.82,22231,95402,0
Gugunnn,Jungler,Baxia,2.0,4809,11,0.5,11759,66135,0
Kairi,Jungler,Baxia,7.5,10408,15,0.75,22940,73301,1026
Kairi,Jungler,Baxia,8.0,10600,15,0.84,39591,221057,0
Kairi,Jungler,Baxia,8.0,8974,15,1.0,20010,82772,0
Anavel,Jungler,Baxia,6.5,8360,15,0.76,30709,146212,528
Super Kenn,Jungler,Baxia,2.8,8178,15,0.55,25203,96747,0
Super Kenn,Jungler,Baxia,3.0,6626,13,1.0,12354,46012,0
Super Kenn,Jungler,Baxia,5.0,11620,15,0.71,33251,245828,0
Kairi,Jungler,Baxia,11.0,7736,15,0.79,33863,102298,0
Anavel,Jungler,Baxia,0.7,8588,15,0.57,33193,171421,0
Kairi,Jungler,Baxia,5.0,9136,15,0.61,21407,98864,171
