Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Aran,Explane,Cici,7.0,8646,14,0.64,50822,72242,142
Aran,Explane,Cici,0.7,6118,12,0.5,13094,36434,0
Lutpiii,Explane,Cici,2.8,11038,15,0.55,32879,74225,2386
Lutpiii,Explane,Cici,1.0,8362,14,0.75,47836,130372,3546
Xorizo,Explane,Cici,1.2,6966,13,1.0,39976,67613,2998
Xorizo,Explane,Cici,19.0,11116,15,0.95,76184,132874,11298
Xorizo,Explane,Cici,2.7,9302,15,0.89,39393,98130,4723
Lutpiii,Explane,Cici,10.0,7577,13,0.71,39394,62917,6842
Cw,Goldlane,Cici,1.0,9144,15,0.6,52207,85932,0
Lutpiii,Explane,Cici,9.0,11716,15,0.61,56389,90681,7956
