Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Kabuki,Goldlane,Claude,5.0,11471,15,0.45,54244,36607,3909
Branz,Goldlane,Claude,3.0,10479,14,0.33,23903,14293,23028
Caderaa,Goldlane,Claude,11.0,13076,15,0.92,85972,73377,28075
Caderaa,Goldlane,Claude,1.8,12600,15,0.64,51178,74434,1125
Cw,Goldlane,Claude,4.0,12710,15,0.5,27845,48602,21497
Branz,Goldlane,Claude,11.0,13253,15,0.65,39167,22768,24115
Branz,Goldlane,Claude,2.0,10732,15,1.0,53535,89023,3145
Caderaa,Goldlane,Claude,13.0,19130,15,0.87,92707,89526,16264
Branz,Goldlane,Claude,2.0,10387,15,0.4,39029,30603,2929
Branz,Goldlane,Claude,1.5,9469,14,0.6,24800,41819,3804
Cw,Goldlane,Claude,7.0,9479,13,0.5,27432,21361,18849
Caderaa,Goldlane,Claude,11.0,15279,15,0.52,47573,55014,28812
Caderaa,Goldlane,Claude,0.5,10365,14,0.5,39649,42001,116
Caderaa,Goldlane,Claude,11.0,14032,15,0.69,75092,32206,19197
Caderaa,Goldlane,Claude,11.0,13759,15,0.79,106078,87949,10172
Branz,Goldlane,Claude,7.0,22524,15,0.78,101384,67483,11982
Cw,Goldlane,Claude,4.0,13110,15,0.78,27900,48650,21500
Cw,Goldlane,Claude,6.0,12667,15,0.78,51961,54612,20172
