Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
1rrad,Jungler,Fredrinn,1.0,7953,14,0.6,33132,113436,0
1rrad,Jungler,Fredrinn,3.0,10663,15,0.47,34206,102486,263
1rrad,Jungler,Fredrinn,7.5,12186,15,0.65,54023,151360,522
Reyy,Jungler,Fredrinn,3.7,11347,15,0.79,23927,107827,222
Reyy,Jungler,Fredrinn,1.5,8721,15,0.47,20997,101505,0
Reyy,Jungler,Fredrinn,2.6,11463,15,0.72,48051,176492,1009
Reyy,Jungler,Fredrinn,12.0,8865,15,1.0,39867,119526,1416
Super Kenn,Jungler,Fredrinn,1.0,7206,14,1.0,30307,102122,0
Anavel,Jungler,Fredrinn,10.0,9116,15,0.59,19028,94321,2217
Anavel,Jungler,Fredrinn,1.3,8588,14,0.9,30542,181628,0
Reyy,Jungler,Fredrinn,19.0,10151,15,0.9,29729,111585,3194
Reyy,Jungler,Fredrinn,17.0,10418,15,0.94,34318,146998,774
Reyy,Jungler,Fredrinn,5.5,12865,15,0.73,27860,157078,647
Reyy,Jungler,Fredrinn,14.0,12223,15,0.67,24088,100575,2757
Reyy,Jungler,Fredrinn,0.3,6507,13,0.5,16350,81097,0
Reyy,Jungler,Fredrinn,12.0,11002,15,0.75,18072,72594,5295
Anavel,Jungler,Fredrinn,3.7,10568,15,0.61,33684,179690,1388
Reyy,Jungler,Fredrinn,7.0,15931,15,0.82,39194,299876,1115
Kairi,Jungler,Fredrinn,1.3,9710,15,0.61,29620,169518,2970
Kairi,Jungler,Fredrinn,3.0,12613,15,0.63,41341,162003,531
Anavel,Jungler,Fredrinn,5.0,9705,15,0.59,29618,169516,2968
Anavel,Jungler,Fredrinn,10.0,11091,15,0.91,34586,162557,1072
Anavel,Jungler,Fredrinn,0.0,6583,13,0.67,9987,100321,0
