Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Clayyy,Midlane,Luo Yi,1.7,7839,13,1.0,57285,51650,0
Aboy,Midlane,Luo Yi,3.0,9197,15,0.6,56420,75910,900
Clayyy,Midlane,Luo Yi,11.5,12264,15,1.0,114415,54044,4091
Clayyy,Midlane,Luo Yi,2.5,10976,15,0.5,75709,48291,1583
Clawkun,Midlane,Luo Yi,5.0,16864,15,0.75,133413,78391,1632
Clawkun,Midlane,Luo Yi,2.7,7813,14,0.8,47513,40132,4473
Clawkun,Midlane,Luo Yi,5.0,6265,12,0.56,29603,18792,0
Aboy,Midlane,Luo Yi,4.0,9614,15,0.84,42560,62424,0
Sanz,Midlane,Luo Yi,6.0,11028,15,0.86,84912,44413,2599
Aboy,Midlane,Luo Yi,10.0,9700,15,0.95,78766,53140,2053
Moreno,Midlane,Luo Yi,4.0,9466,15,1.0,86298,44406,2163
Clawkun,Midlane,Luo Yi,1.7,6198,12,1.0,37360,33690,0
Aboy,Midlane,Luo Yi,18.0,11752,15,0.86,69479,39160,2716
Aboy,Midlane,Luo Yi,8.0,11682,15,1.0,85583,49986,1140
Aboy,Midlane,Luo Yi,4.0,10861,15,0.86,79455,79887,0
Aboy,Midlane,Luo Yi,4.7,17191,15,0.82,91743,106017,4455
