Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Yehezkiel,Midlane,Novaria,17.0,17571,15,0.94,186209,26583,1434
Yehezkiel,Midlane,Novaria,1.0,5501,11,0.25,20601,8670,0
Aboy,Midlane,Novaria,17.0,14486,15,0.94,92605,14767,6299
Aboy,Midlane,Novaria,10.0,9662,15,0.83,57765,29619,4939
Aboy,Midlane,Novaria,2.5,10807,15,0.91,49270,38112,366
Clawkun,Midlane,Novaria,16.0,9743,15,0.94,51141,7057,3425
Clawkun,Midlane,Novaria,8.0,9425,14,0.8,71601,22987,1266
Moreno,Midlane,Novaria,7.0,17392,15,1.0,134853,22255,0
Clawkun,Midlane,Novaria,1.3,9839,15,0.57,50526,20613,0
Clawkun,Midlane,Novaria,17.0,13506,15,0.95,74072,16256,1503
Clawkun,Midlane,Novaria,14.0,17907,15,0.78,144530,28325,393
