Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Skylar,Goldlane,Roger,1.0,6093,11,0.5,15503,36655,175
Skylar,Goldlane,Roger,16.0,14123,15,0.84,52996,50922,14855
Skylar,Goldlane,Roger,7.0,16099,15,0.61,59895,69160,11653
Skylar,Goldlane,Roger,8.0,16633,15,0.8,40718,59830,23026
Branz,Goldlane,Roger,4.0,25905,15,0.8,130103,118383,9999
Branz,Goldlane,Roger,7.0,13497,15,0.7,50126,41329,14568
Kabuki,Goldlane,Roger,1.3,7948,12,1.0,20059,41824,0
Cw,Goldlane,Roger,7.5,15987,15,0.79,76645,102493,7144
Super Kenn,Jungler,Roger,2.0,10505,15,1.0,37106,73533,4484
Emann,Goldlane,Roger,13.0,13011,15,0.65,48870,86925,14188
Emann,Goldlane,Roger,1.5,9124,13,0.5,36501,39174,7503
Cw,Goldlane,Roger,12.0,11788,15,0.67,35135,24747,24207
Cw,Goldlane,Roger,11.0,11914,15,0.79,58540,46538,14153
Branz,Goldlane,Roger,0.7,5945,10,0.4,20490,42673,0
Branz,Goldlane,Roger,1.5,13315,15,0.43,48160,57755,0
Branz,Goldlane,Roger,7.0,12182,15,0.47,34033,36957,21771
Branz,Goldlane,Roger,5.0,13216,15,0.5,38006,55145,823
Caderaa,Goldlane,Roger,15.0,24039,15,0.88,119248,143804,9350
Branz,Goldlane,Roger,5.0,15129,15,0.67,66735,47353,13499
Cw,Goldlane,Roger,14.0,15939,15,0.78,55005,43991,21035
Cw,Goldlane,Roger,13.0,17860,15,0.68,93527,69266,7404
Branz,Goldlane,Roger,13.0,15127,15,0.76,66733,47350,13496
Cw,Goldlane,Roger,1.0,15009,15,1.0,51062,29507,10245
