Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Luke,Explane,Ruby,10.0,9494,15,0.67,37653,84374,3414
Luke,Explane,Ruby,13.0,13720,15,0.93,47202,94473,5082
Baloyskie,Roamer,Ruby,3.2,8283,14,0.68,16158,79326,0
Baloyskie,Roamer,Ruby,1.5,9909,15,0.5,16530,127021,1588
Luke,Explane,Ruby,6.0,8850,14,1.0,30441,119025,3327
Kiboy,Roamer,Ruby,4.0,9721,15,0.76,25765,102078,1414
Luke,Explane,Ruby,1.0,7252,14,0.5,25187,104192,222
Kiboy,Roamer,Ruby,6.0,6831,13,0.86,18949,64048,795
Fluffy,Explane,Ruby,2.5,4818,10,1.0,24680,52839,0
Dreams,Roamer,Ruby,1.0,8117,15,0.71,24232,91100,0
Baloyskie,Roamer,Ruby,4.3,8571,15,0.81,18013,75562,164
Baloyskie,Roamer,Ruby,1.0,7897,15,0.36,15317,103851,806
Kiboy,Roamer,Ruby,0.6,6690,13,0.78,18745,86955,0
Dreams,Roamer,Ruby,1.8,8942,15,0.78,11998,94651,0
Kiboy,Roamer,Ruby,1.3,6683,13,0.8,18743,86952,0
