Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Clayyy,Midlane,Valentina,1.3,4631,10,1.0,23804,51091,0
Moreno,Midlane,Valentina,2.5,6907,13,1.0,34426,38638,285
Clawkun,Midlane,Valentina,10.0,9038,15,0.59,36348,32526,2485
Clawkun,Midlane,Valentina,9.0,7693,13,0.9,33386,27854,3139
Moreno,Midlane,Valentina,1.8,8139,14,0.78,39585,60079,1628
Sanz,Midlane,Valentina,16.0,8927,15,0.89,39639,41225,1033
Clawkun,Midlane,Valentina,1.0,6391,12,0.4,31880,35018,0
Clawkun,Midlane,Valentina,12.0,9301,15,0.8,51160,62709,808
Clawkun,Midlane,Valentina,11.0,8113,15,0.89,39550,60045,1595
Clawkun,Midlane,Valentina,2.7,10421,15,0.89,68502,74401,1912
Clawkun,Midlane,Valentina,1.8,12192,15,0.82,73512,78733,1854
Sanz,Midlane,Valentina,0.0,11998,15,0.0,65437,50191,368
Clawkun,Midlane,Valentina,2.0,7650,14,0.89,36262,48107,0
