Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Luke,Explane,Barats,14.0,7201,12,0.78,23618,76514,594
Donn,Explane,Esmeralda,0.7,5126,10,0.5,32361,83104,0
Luke,Explane,Ruby,10.0,9494,15,0.67,37653,84374,3414
Donn,Explane,Thamuz,0.6,8166,14,0.6,29804,107163,0
Luke,Explane,Yu Zhong,1.2,8831,15,0.4,44568,114057,0
Donn,Explane,Esmeralda,5.0,12576,15,0.53,77370,196818,4117
Luke,Explane,Lapu-Lapu,3.8,10600,15,0.71,49838,128533,363
Donn,Explane,Arlott,1.2,10498,15,0.43,26881,98532,2891
Luke,Explane,Ruby,13.0,13720,15,0.93,47202,94473,5082
Donn,Explane,Yu Zhong,2.7,11032,15,0.8,25818,87731,2631
Aran,Explane,Benedetta,2.4,22208,15,0.67,81467,132404,3366
Fluffy,Explane,Yu Zhong,6.0,20176,15,0.6,35374,189351,3651
Aran,Explane,Cici,7.0,8646,14,0.64,50822,72242,142
Fluffy,Explane,Terizla,6.0,9239,15,0.6,34747,125683,2008
Aran,Explane,Cici,0.7,6118,12,0.5,13094,36434,0
Fluffy,Explane,Yu Zhong,3.0,7331,13,0.33,24296,25127,4516
Lutpiii,Explane,Cici,2.8,11038,15,0.55,32879,74225,2386
Luke,Explane,Xborg,5.5,10626,15,0.58,56009,85261,0
Lutpiii,Explane,Benedetta,1.4,11897,15,0.37,39250,127102,2190
Luke,Explane,Masha,0.8,12226,15,0.33,61367,77728,7935
Lutpiii,Explane,Cici,1.0,8362,14,0.75,47836,130372,3546
Luke,Explane,Ruby,6.0,8850,14,1.0,30441,119025,3327
Lutpiii,Explane,Uranus,2.2,10007,15,0.43,26417,227432,1477
Luke,Explane,Xborg,1.3,10784,15,0.73,74407,124641,0
Lutpiii,Explane,Xborg,7.0,9049,15,0.88,54316,112594,1926
Luke,Explane,Ruby,1.0,7252,14,0.5,25187,104192,222
Xorizo,Explane,Cici,1.2,6966,13,1.0,39976,67613,2998
Fluffy,Explane,Yu Zhong,12.0,9128,15,0.71,34973,93874,699
Xorizo,Explane,Paquito,1.8,8065,14,0.88,24123,72730,6007
Fluffy,Explane,Terizla,6.5,9692,15,0.76,34994,92175,1323
Xorizo,Explane,Cici,19.0,11116,15,0.95,76184,132874,11298
Fluffy,Explane,Paquito,0.5,8331,14,0.3,30495,116685,1112
Xorizo,Explane,Terizla,1.3,6762,12,0.67,18170,54506,1960
Fluffy,Explane,Yu Zhong,8.0,8182,13,0.8,19328,50130,616
Xorizo,Explane,Cici,2.7,9302,15,0.89,39393,98130,4723
Luke,Explane,Masha,6.5,9991,15,0.62,50648,55992,2336
Xorizo,Explane,Esmeralda,3.5,10086,15,0.58,48702,140671,2138
Luke,Explane,Masha,2.0,9976,15,0.44,38726,88361,86
Xorizo,Explane,Arlott,1.0,11349,15,0.71,27227,184231,0
Luke,Explane,Lapu-Lapu,12.0,15830,15,0.8,37500,152242,5366
Lutpiii,Explane,Thamuz,15.0,9085,14,0.83,33069,92817,1206
Fluffy,Explane,Barats,0.5,6476,12,0.6,22436,85475,0
Lutpiii,Explane,Paquito,5.0,9004,14,0.36,18430,32568,3342
Fluffy,Explane,Terizla,1.3,6595,12,0.8,26044,75895,0
Lutpiii,Explane,Cici,10.0,7577,13,0.71,39394,62917,6842
Fluffy,Explane,Ruby,2.5,4818,10,1.0,24680,52839,0
Fluffy,Explane,Esmeralda,0.6,11954,15,0.43,45427,119718,296
Luke,Explane,Masha,4.0,12712,15,0.38,42852,50249,2996
Fluffy,Explane,Xborg,12.0,9966,15,0.8,30470,83352,3098
Luke,Explane,Yu Zhong,0.0,7740,13,0.0,23889,60481,0
Fluffy,Explane,Masha,2.2,9664,15,0.9,34123,87561,2005
Luke,Explane,Lapu-Lapu,2.8,10735,15,0.69,35385,84426,3508
Fluffy,Explane,Yu Zhong,2.4,12427,15,0.67,40279,116771,666
Luke,Explane,Barats,1.6,10272,15,0.57,32282,164827,0
Fluffy,Explane,Terizla,1.6,14630,15,0.44,62507,280704,506
Luke,Explane,Chou,1.7,16029,15,0.59,23140,224960,0
Lutpiii,Explane,Paquito,2.0,13200,15,0.61,47630,50125,10540
Fluffy,Explane,Terizla,5.0,7018,14,0.56,32987,150563,0
Lutpiii,Explane,Barats,2.8,10111,15,0.61,25177,167323,887
Fluffy,Explane,Terizla,1.0,9466,15,0.56,25947,151172,300
Lutpiii,Explane,Masha,5.5,15683,15,0.58,71355,63950,7498
Fluffy,Explane,Terizla,1.6,9855,15,0.73,39615,223498,0
Lutpiii,Explane,Terizla,0.7,7018,13,0.8,32985,150563,0
Fluffy,Explane,Paquito,12.0,13196,15,0.71,47628,50121,10536
Lutpiii,Explane,Uranus,0.0,9786,15,0.0,57609,225100,0
Fluffy,Explane,Xborg,9.0,15039,15,0.82,101879,158483,7104
Lutpiii,Explane,Cici,9.0,11716,15,0.61,56389,90681,7956
Fluffy,Explane,Xborg,1.0,8594,14,0.56,35298,83903,1755
