Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Baloyskie,Roamer,Helcurt,5.0,6933,12,0.56,27795,39370,6162
Vyn,Roamer,Minotaur,0.6,4246,10,0.75,12750,64067,0
Baloyskie,Roamer,Helcurt,6.0,10019,15,0.8,49859,42306,6516
Vyn,Roamer,Mathilda,2.5,7843,13,1.0,24140,53280,676
Baloyskie,Roamer,Mathilda,3.2,8860,15,0.87,29457,106464,978
Vyn,Roamer,Chip,2.0,9666,15,0.63,35082,146990,38
Baloyskie,Roamer,Franco,3.4,8745,15,0.81,15752,118654,745
Vyn,Roamer,Minotaur,2.9,10600,15,0.87,24267,137959,1294
Baloyskie,Roamer,Floryn,6.0,11049,15,0.86,14399,39611,352
Vyn,Roamer,Arlott,1.6,10704,15,0.8,30467,123130,180
Yawi,Roamer,Grock,3.8,14072,15,0.83,27545,203617,0
Dreams,Roamer,Tigreal,2.6,15973,15,0.65,18668,287050,620
Yawi,Roamer,Grock,1.5,6435,13,0.55,9132,93945,0
Dreams,Roamer,Minotaur,2.0,7733,13,0.8,12391,88890,2663
Yawi,Roamer,Grock,3.0,4537,10,0.75,9424,58800,0
Dreams,Roamer,Tigreal,1.3,5640,11,0.44,11751,47773,0
Kiboy,Roamer,Chip,1.6,8523,15,0.65,35643,119197,29
Baloyskie,Roamer,Ruby,3.2,8283,14,0.68,16158,79326,0
Kiboy,Roamer,Chip,1.9,8981,15,0.68,43115,199187,0
Baloyskie,Roamer,Ruby,1.5,9909,15,0.5,16530,127021,1588
Kiboy,Roamer,Mathilda,3.0,6301,13,0.75,18003,57983,276
Baloyskie,Roamer,Floryn,10.0,7416,14,0.83,11673,34563,3058
Kiboy,Roamer,Ruby,4.0,9721,15,0.76,25765,102078,1414
Baloyskie,Roamer,Franco,1.6,8267,15,0.73,16785,90117,0
Kiboy,Roamer,Edith,2.0,7419,14,0.75,20789,89495,696
Baloyskie,Roamer,Floryn,3.0,6765,14,0.75,12284,32781,320
Kyy,Roamer,Franco,1.0,5135,11,0.8,10031,53819,0
Dreams,Roamer,Minotaur,7.0,7472,14,0.82,22360,79755,724
Kyy,Roamer,Chip,1.0,5929,12,0.75,32814,117822,0
Dreams,Roamer,Edith,3.8,9220,15,0.88,37426,80070,4157
Kyy,Roamer,Chip,5.7,8368,14,0.85,42622,112275,960
Dreams,Roamer,Carmilla,8.0,7871,14,0.8,22132,124489,0
Kyy,Roamer,Edith,2.0,5493,11,0.67,14798,45323,590
Dreams,Roamer,Tigreal,2.0,5660,11,0.6,6252,67866,0
Kyy,Roamer,Chip,1.0,7428,13,0.67,37873,99514,0
Baloyskie,Roamer,Kaja,5.0,8154,14,0.71,21622,81881,1296
Kyy,Roamer,Arlott,0.6,6809,13,0.42,26845,117890,0
Baloyskie,Roamer,Kaja,3.0,8535,15,0.67,24049,101907,1490
Kyy,Roamer,Minotaur,0.5,11130,15,0.43,17575,193739,0
Baloyskie,Roamer,Chip,6.5,12626,15,0.87,44204,177644,114
Kiboy,Roamer,Grock,15.0,7486,13,0.83,15836,86721,525
Dreams,Roamer,Edith,1.0,6087,11,0.8,19042,68891,0
Kiboy,Roamer,Ruby,6.0,6831,13,0.86,18949,64048,795
Dreams,Roamer,Edith,0.5,5858,12,0.4,17570,46934,0
Kiboy,Roamer,Edith,3.3,5897,11,0.71,16316,54152,542
Dreams,Roamer,Tigreal,1.0,4334,9,0.8,11115,76844,0
Dreams,Roamer,Ruby,1.0,8117,15,0.71,24232,91100,0
Baloyskie,Roamer,Edith,5.7,10635,15,0.81,35313,116451,3840
Dreams,Roamer,Chip,8.0,7469,14,0.53,26888,53273,292
Baloyskie,Roamer,Minotaur,0.7,6511,12,1.0,7422,72987,0
Dreams,Roamer,Tigreal,1.2,7343,14,0.5,9035,122107,0
Baloyskie,Roamer,Ruby,4.3,8571,15,0.81,18013,75562,164
Dreams,Roamer,Minotaur,4.0,9750,15,0.67,20710,135629,0
Baloyskie,Roamer,Ruby,1.0,7897,15,0.36,15317,103851,806
Dreams,Roamer,Chip,2.0,13957,15,0.67,50114,204203,155
Baloyskie,Roamer,Helcurt,1.5,18685,15,0.53,46823,83589,6977
Kiboy,Roamer,Ruby,0.6,6690,13,0.78,18745,86955,0
Dreams,Roamer,Minotaur,4.0,7511,14,0.78,8422,73050,150
Kiboy,Roamer,Edith,7.0,9619,15,0.78,37189,120603,2127
Dreams,Roamer,Ruby,1.8,8942,15,0.78,11998,94651,0
Kiboy,Roamer,Arlott,2.8,11879,15,0.58,35814,117185,1560
Dreams,Roamer,Minotaur,1.8,9586,15,0.64,16780,180854,0
Kiboy,Roamer,Ruby,1.3,6683,13,0.8,18743,86952,0
Dreams,Roamer,Franco,5.0,7913,15,0.59,10605,54415,157
Kiboy,Roamer,Grock,0.3,9303,15,1.0,25812,185348,0
Dreams,Roamer,Franco,10.0,10843,15,0.91,14962,80277,162
Kiboy,Roamer,Angela,8.0,8612,15,0.78,21686,10843,3179
Dreams,Roamer,Kaja,0.0,6354,13,0.78,12479,74241,0
