Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Reyy,Jungler,Ling,14.0,10540,15,0.78,29512,30466,3192,"[0, 0.35, 0.65]","[0, 0.91, 0.09]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.01, 0.99, 0]","[0.98, 0.02, 0]","[0, 0.47, 0.53]"
1rrad,Jungler,Baxia,0.6,4871,10,0.75,18400,97319,0,"[0.88, 0.12, 0]","[0.99, 0.01, 0]","[1.0, 0, 0]","[0, 0.89, 0.11]","[0.57, 0.43, 0]","[0.31, 0.69, 0]","[1.0, 0, 0]"
Reyy,Jungler,Baxia,4.5,9158,15,0.6,23978,100989,595,"[0.08, 0.92, 0]","[0.14, 0.86, 0]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0.29, 0.71, 0]","[0.28, 0.72, 0]","[0.25, 0.75, 0]"
1rrad,Jungler,Fredrinn,1.0,7953,14,0.6,33132,113436,0,"[0.8, 0.2, 0]","[0.38, 0.62, 0]","[0.12, 0.88, 0]","[0.37, 0.63, 0]","[0, 0.86, 0.14]","[0.15, 0.85, 0]","[1.0, 0, 0]"
Reyy,Jungler,Barats,3.0,9201,15,0.4,35704,157654,0,"[0.39, 0.61, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0, 0.75, 0.25]","[0, 0.83, 0.17]","[1.0, 0, 0]"
1rrad,Jungler,Fredrinn,3.0,10663,15,0.47,34206,102486,263,"[0.39, 0.61, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0, 0.82, 0.18]","[0.26, 0.74, 0]","[0.67, 0.33, 0]"
Reyy,Jungler,Baxia,6.7,9831,15,0.95,42127,170198,0,"[0, 0.87, 0.13]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.18, 0.82]","[0, 0.49, 0.51]","[0, 0.76, 0.24]","[1.0, 0, 0]"
1rrad,Jungler,Fredrinn,7.5,12186,15,0.65,54023,151360,522,"[0, 0.82, 0.18]","[0, 0.68, 0.32]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0.34, 0.66, 0]"
Reyy,Jungler,Fredrinn,3.7,11347,15,0.79,23927,107827,222,"[0.25, 0.75, 0]","[0, 0.79, 0.21]","[0, 0, 1.0]","[0, 0.75, 0.25]","[0.29, 0.71, 0]","[0.21, 0.79, 0]","[0.72, 0.28, 0]"
1rrad,Jungler,Akai,1.7,10680,15,0.5,18172,114206,1226,"[0.65, 0.35, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.69, 0.31, 0]","[0.59, 0.41, 0]","[0.14, 0.86, 0]","[0, 0.9, 0.1]"
Gugunnn,Jungler,Baxia,2.7,14929,15,0.89,51170,245431,0,"[0.45, 0.55, 0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0, 0.39, 0.61]","[0, 0.12, 0.88]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Anavel,Jungler,Akai,2.0,16753,15,0.4,26490,253377,651,"[0.59, 0.41, 0]","[0, 0.03, 0.97]","[0, 0, 1.0]","[1.0, 0, 0]","[0.16, 0.84, 0]","[0, 0.27, 0.73]","[0.17, 0.83, 0]"
Gugunnn,Jungler,Baxia,2.2,7645,15,0.82,22231,95402,0,"[0.55, 0.45, 0]","[0.44, 0.56, 0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0.38, 0.62, 0]","[0.33, 0.67, 0]","[1.0, 0, 0]"
