Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Luke,Explane,Yu Zhong,1.2,8831,15,0.4,44568,114057,0
Donn,Explane,Yu Zhong,2.7,11032,15,0.8,25818,87731,2631
Fluffy,Explane,Yu Zhong,6.0,20176,15,0.6,35374,189351,3651
Aran,Explane,Cici,7.0,8646,14,0.64,50822,72242,142
Fluffy,Explane,Terizla,6.0,9239,15,0.6,34747,125683,2008
Aran,Explane,Cici,0.7,6118,12,0.5,13094,36434,0
Fluffy,Explane,Yu Zhong,3.0,7331,13,0.33,24296,25127,4516
Lutpiii,Explane,Cici,2.8,11038,15,0.55,32879,74225,2386
Luke,Explane,Xborg,5.5,10626,15,0.58,56009,85261,0
Luke,Explane,Masha,0.8,12226,15,0.33,61367,77728,7935
Lutpiii,Explane,Cici,1.0,8362,14,0.75,47836,130372,3546
Luke,Explane,Xborg,1.3,10784,15,0.73,74407,124641,0
Lutpiii,Explane,Xborg,7.0,9049,15,0.88,54316,112594,1926
Xorizo,Explane,Cici,1.2,6966,13,1.0,39976,67613,2998
Fluffy,Explane,Yu Zhong,12.0,9128,15,0.71,34973,93874,699
Fluffy,Explane,Terizla,6.5,9692,15,0.76,34994,92175,1323
Xorizo,Explane,Cici,19.0,11116,15,0.95,76184,132874,11298
Xorizo,Explane,Terizla,1.3,6762,12,0.67,18170,54506,1960
Fluffy,Explane,Yu Zhong,8.0,8182,13,0.8,19328,50130,616
Xorizo,Explane,Cici,2.7,9302,15,0.89,39393,98130,4723
Luke,Explane,Masha,6.5,9991,15,0.62,50648,55992,2336
Luke,Explane,Masha,2.0,9976,15,0.44,38726,88361,86
Fluffy,Explane,Terizla,1.3,6595,12,0.8,26044,75895,0
Lutpiii,Explane,Cici,10.0,7577,13,0.71,39394,62917,6842
Luke,Explane,Masha,4.0,12712,15,0.38,42852,50249,2996
Fluffy,Explane,Xborg,12.0,9966,15,0.8,30470,83352,3098
Luke,Explane,Yu Zhong,0.0,7740,13,0.0,23889,60481,0
Fluffy,Explane,Masha,2.2,9664,15,0.9,34123,87561,2005
Fluffy,Explane,Yu Zhong,2.4,12427,15,0.67,40279,116771,666
Fluffy,Explane,Terizla,1.6,14630,15,0.44,62507,280704,506
Fluffy,Explane,Terizla,5.0,7018,14,0.56,32987,150563,0
Fluffy,Explane,Terizla,1.0,9466,15,0.56,25947,151172,300
Lutpiii,Explane,Masha,5.5,15683,15,0.58,71355,63950,7498
Fluffy,Explane,Terizla,1.6,9855,15,0.73,39615,223498,0
Lutpiii,Explane,Terizla,0.7,7018,13,0.8,32985,150563,0
Fluffy,Explane,Xborg,9.0,15039,15,0.82,101879,158483,7104
Lutpiii,Explane,Cici,9.0,11716,15,0.61,56389,90681,7956
Fluffy,Explane,Xborg,1.0,8594,14,0.56,35298,83903,1755
