Player_Name,Hero_Pick,Player_Role,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Reyy,Ling,Jungler,"[0, 0.35, 0.65]","[0, 0.91, 0.09]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.01, 0.99, 0]","[0.98, 0.02, 0]","[0, 0.47, 0.53]"
1rrad,Baxia,Jungler,"[0.88, 0.12, 0]","[0.99, 0.01, 0]","[1.0, 0, 0]","[0, 0.89, 0.11]","[0.57, 0.43, 0]","[0.31, 0.69, 0]","[1.0, 0, 0]"
Reyy,Baxia,Jungler,"[0.08, 0.92, 0]","[0.14, 0.86, 0]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0.29, 0.71, 0]","[0.28, 0.72, 0]","[0.25, 0.75, 0]"
1rrad,Fredrinn,Jungler,"[0.8, 0.2, 0]","[0.38, 0.62, 0]","[0.12, 0.88, 0]","[0.37, 0.63, 0]","[0, 0.86, 0.14]","[0.15, 0.85, 0]","[1.0, 0, 0]"
Reyy,Barats,Jungler,"[0.39, 0.61, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0, 0.75, 0.25]","[0, 0.83, 0.17]","[1.0, 0, 0]"
1rrad,Fredrinn,Jungler,"[0.39, 0.61, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0, 0.82, 0.18]","[0.26, 0.74, 0]","[0.67, 0.33, 0]"
Reyy,Baxia,Jungler,"[0, 0.87, 0.13]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.18, 0.82]","[0, 0.49, 0.51]","[0, 0.76, 0.24]","[1.0, 0, 0]"
1rrad,Fredrinn,Jungler,"[0, 0.82, 0.18]","[0, 0.68, 0.32]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0.34, 0.66, 0]"
Reyy,Fredrinn,Jungler,"[0.25, 0.75, 0]","[0, 0.79, 0.21]","[0, 0, 1.0]","[0, 0.75, 0.25]","[0.29, 0.71, 0]","[0.21, 0.79, 0]","[0.72, 0.28, 0]"
1rrad,Akai,Jungler,"[0.65, 0.35, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.69, 0.31, 0]","[0.59, 0.41, 0]","[0.14, 0.86, 0]","[0, 0.9, 0.1]"
Gugunnn,Baxia,Jungler,"[0.45, 0.55, 0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0, 0.39, 0.61]","[0, 0.12, 0.88]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Anavel,Akai,Jungler,"[0.59, 0.41, 0]","[0, 0.03, 0.97]","[0, 0, 1.0]","[1.0, 0, 0]","[0.16, 0.84, 0]","[0, 0.27, 0.73]","[0.17, 0.83, 0]"
Gugunnn,Baxia,Jungler,"[0.55, 0.45, 0]","[0.44, 0.56, 0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0.38, 0.62, 0]","[0.33, 0.67, 0]","[1.0, 0, 0]"
Gugunnn,Baxia,Jungler,"[0.59, 0.41, 0]","[1.0, 0, 0]","[0.78, 0.22, 0]","[0.69, 0.31, 0]","[0.91, 0.09, 0]","[0.63, 0.37, 0]","[1.0, 0, 0]"
Kairi,Baxia,Jungler,"[0, 0.82, 0.18]","[0, 0.93, 0.07]","[0, 0, 1.0]","[0, 0.89, 0.11]","[0.34, 0.66, 0]","[0.55, 0.45, 0]","[0, 0.95, 0.05]"
Reyy,Fredrinn,Jungler,"[0.69, 0.31, 0]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0.78, 0.22, 0]","[0.44, 0.56, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Kairi,Baxia,Jungler,"[0, 0.78, 0.22]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0.57, 0.43]","[0, 0.59, 0.41]","[0, 0.46, 0.54]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0.47, 0.53, 0]","[0, 0.78, 0.22]","[0, 0, 1.0]","[0, 1.0, 0.0]","[0, 0.25, 0.75]","[0, 0.72, 0.28]","[0, 0.95, 0.05]"
Kairi,Akai,Jungler,"[0.8, 0.2, 0]","[0.57, 0.43, 0]","[0.12, 0.88, 0]","[0, 0.89, 0.11]","[0.38, 0.62, 0]","[0, 0.69, 0.31]","[1.0, 0, 0]"
Reyy,Fredrinn,Jungler,"[0, 0.5, 0.5]","[0.2, 0.8, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.58, 0.42]","[0.09, 0.91, 0]","[0, 0.86, 0.14]"
Reyy,Barats,Jungler,"[0.29, 0.71, 0]","[0.0, 1.0, 0]","[0, 0, 1.0]","[0.25, 0.75, 0]","[0, 0.67, 0.33]","[0.15, 0.85, 0]","[0.83, 0.17, 0]"
Kairi,Baxia,Jungler,"[0, 0.78, 0.22]","[0.18, 0.82, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.49, 0.51, 0]","[0.46, 0.54, 0]","[1.0, 0, 0]"
