Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Skylar,Goldlane,Roger,1.0,6093,11,0.5,15503,36655,175
Skylar,Goldlane,Karrie,1.5,10455,15,0.6,17618,51520,8781
Caderaa,Goldlane,Natan,1.4,13514,15,0.47,58614,73359,12252
Skylar,Goldlane,Roger,16.0,14123,15,0.84,52996,50922,14855
Caderaa,Goldlane,Karrie,3.2,13684,15,0.62,69603,77003,6643
Skylar,Goldlane,Roger,7.0,16099,15,0.61,59895,69160,11653
Caderaa,Goldlane,Karrie,5.0,15968,15,0.71,70532,54030,11979
Skylar,Goldlane,Roger,8.0,16633,15,0.8,40718,59830,23026
Kabuki,Goldlane,Karrie,13.0,19841,15,0.5,132452,67163,16025
Branz,Goldlane,Roger,4.0,25905,15,0.8,130103,118383,9999
Kabuki,Goldlane,Claude,5.0,11471,15,0.45,54244,36607,3909
Branz,Goldlane,Roger,7.0,13497,15,0.7,50126,41329,14568
Kabuki,Goldlane,Roger,1.3,7948,12,1.0,20059,41824,0
Branz,Goldlane,Claude,3.0,10479,14,0.33,23903,14293,23028
Cw,Goldlane,Moskov,15.0,15647,15,0.75,83620,35300,24947
Caderaa,Goldlane,Natan,3.0,12789,15,0.63,55343,45036,2777
Cw,Goldlane,Roger,7.5,15987,15,0.79,76645,102493,7144
Caderaa,Goldlane,Moskov,13.0,16558,15,0.72,104446,60842,12755
Cw,Goldlane,Natan,1.0,10622,15,0.75,72567,59104,5461
Caderaa,Goldlane,Claude,11.0,13076,15,0.92,85972,73377,28075
Cw,Goldlane,Karrie,12.0,15388,15,0.57,68729,46087,14036
Caderaa,Goldlane,Claude,1.8,12600,15,0.64,51178,74434,1125
Cw,Goldlane,Claude,4.0,12710,15,0.5,27845,48602,21497
Caderaa,Goldlane,Natan,1.5,11868,15,0.75,75795,51060,8865
Emann,Goldlane,Natan,2.0,11096,15,0.8,53904,41207,3502
Emann,Goldlane,Natan,4.0,9501,15,0.5,45247,33237,60
Branz,Goldlane,Claude,11.0,13253,15,0.65,39167,22768,24115
Emann,Goldlane,Roger,13.0,13011,15,0.65,48870,86925,14188
Branz,Goldlane,Claude,2.0,10732,15,1.0,53535,89023,3145
Emann,Goldlane,Roger,1.5,9124,13,0.5,36501,39174,7503
Branz,Goldlane,Moskov,7.0,9502,14,0.7,20187,23273,16454
Emann,Goldlane,Karrie,0.8,10868,15,0.44,49342,69635,10025
Caderaa,Goldlane,Moskov,17.0,10967,15,0.81,52188,45930,16349
Emann,Goldlane,Natan,3.0,11142,15,0.5,46795,45257,11790
Caderaa,Goldlane,Moskov,14.0,13111,15,0.78,69112,51397,22997
Emann,Goldlane,Moskov,3.5,22622,15,1.0,97060,86398,0
Caderaa,Goldlane,Claude,13.0,19130,15,0.87,92707,89526,16264
Cw,Goldlane,Roger,12.0,11788,15,0.67,35135,24747,24207
Branz,Goldlane,Claude,2.0,10387,15,0.4,39029,30603,2929
Cw,Goldlane,Roger,11.0,11914,15,0.79,58540,46538,14153
Branz,Goldlane,Claude,1.5,9469,14,0.6,24800,41819,3804
Cw,Goldlane,Claude,7.0,9479,13,0.5,27432,21361,18849
Branz,Goldlane,Roger,0.7,5945,10,0.4,20490,42673,0
Branz,Goldlane,Roger,1.5,13315,15,0.43,48160,57755,0
Caderaa,Goldlane,Claude,11.0,15279,15,0.52,47573,55014,28812
Branz,Goldlane,Roger,7.0,12182,15,0.47,34033,36957,21771
Caderaa,Goldlane,Claude,0.5,10365,14,0.5,39649,42001,116
Branz,Goldlane,Roger,5.0,13216,15,0.5,38006,55145,823
Caderaa,Goldlane,Claude,11.0,14032,15,0.69,75092,32206,19197
Branz,Goldlane,Moskov,7.5,16953,15,0.83,69581,80884,10758
Caderaa,Goldlane,Claude,11.0,13759,15,0.79,106078,87949,10172
Branz,Goldlane,Claude,7.0,22524,15,0.78,101384,67483,11982
Caderaa,Goldlane,Roger,15.0,24039,15,0.88,119248,143804,9350
Cw,Goldlane,Claude,4.0,13110,15,0.78,27900,48650,21500
Branz,Goldlane,Roger,5.0,15129,15,0.67,66735,47353,13499
Cw,Goldlane,Roger,14.0,15939,15,0.78,55005,43991,21035
Branz,Goldlane,Karrie,3.0,13612,15,0.67,68303,55279,6655
Cw,Goldlane,Roger,13.0,17860,15,0.68,93527,69266,7404
Branz,Goldlane,Karrie,2.3,14925,15,0.64,67364,80645,0
Branz,Goldlane,Roger,13.0,15127,15,0.76,66733,47350,13496
Cw,Goldlane,Roger,1.0,15009,15,1.0,51062,29507,10245
Cw,Goldlane,Claude,6.0,12667,15,0.78,51961,54612,20172
Branz,Goldlane,Karrie,0.5,9490,14,0.67,35109,41137,2838
