Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Aboy,Midlane,Faramis,17.0,7649,12,0.94,48185,40293,3997
Clayyy,Midlane,Valentina,1.3,4631,10,1.0,23804,51091,0
Clayyy,Midlane,Luo Yi,1.7,7839,13,1.0,57285,51650,0
Aboy,Midlane,Luo Yi,3.0,9197,15,0.6,56420,75910,900
Aboy,Midlane,Faramis,2.9,10934,15,0.95,89797,95834,3046
Clayyy,Midlane,Luo Yi,11.5,12264,15,1.0,114415,54044,4091
Clayyy,Midlane,Luo Yi,2.5,10976,15,0.5,75709,48291,1583
Yehezkiel,Midlane,Novaria,17.0,17571,15,0.94,186209,26583,1434
Clawkun,Midlane,Luo Yi,5.0,16864,15,0.75,133413,78391,1632
Clawkun,Midlane,Luo Yi,2.7,7813,14,0.8,47513,40132,4473
Yehezkiel,Midlane,Novaria,1.0,5501,11,0.25,20601,8670,0
Clawkun,Midlane,Luo Yi,5.0,6265,12,0.56,29603,18792,0
Aboy,Midlane,Luo Yi,4.0,9614,15,0.84,42560,62424,0
Sanz,Midlane,Pharsa,6.5,10829,15,0.68,56970,53275,0
Aboy,Midlane,Novaria,17.0,14486,15,0.94,92605,14767,6299
Sanz,Midlane,Faramis,1.0,7541,13,0.75,51066,101965,0
Aboy,Midlane,Novaria,10.0,9662,15,0.83,57765,29619,4939
Sanz,Midlane,Luo Yi,6.0,11028,15,0.86,84912,44413,2599
Aboy,Midlane,Novaria,2.5,10807,15,0.91,49270,38112,366
Sanz,Midlane,Pharsa,6.0,10394,15,0.75,86867,21244,1883
Aboy,Midlane,Faramis,3.0,7952,14,0.75,43228,96695,2300
Moreno,Midlane,Valentina,2.5,6907,13,1.0,34426,38638,285
Clawkun,Midlane,Novaria,16.0,9743,15,0.94,51141,7057,3425
Moreno,Midlane,Pharsa,3.0,6983,13,0.75,42960,24770,0
Clawkun,Midlane,Valentina,10.0,9038,15,0.59,36348,32526,2485
Clawkun,Midlane,Novaria,8.0,9425,14,0.8,71601,22987,1266
Clawkun,Midlane,Valentina,9.0,7693,13,0.9,33386,27854,3139
Moreno,Midlane,Valentina,1.8,8139,14,0.78,39585,60079,1628
Aboy,Midlane,Luo Yi,10.0,9700,15,0.95,78766,53140,2053
Moreno,Midlane,Luo Yi,4.0,9466,15,1.0,86298,44406,2163
Aboy,Midlane,Faramis,4.7,10523,15,0.78,49823,79641,1858
Moreno,Midlane,Novaria,7.0,17392,15,1.0,134853,22255,0
Aboy,Midlane,Faramis,6.5,18151,15,0.87,180741,114058,4010
Sanz,Midlane,Valentina,16.0,8927,15,0.89,39639,41225,1033
Clawkun,Midlane,Luo Yi,1.7,6198,12,1.0,37360,33690,0
Clawkun,Midlane,Valentina,1.0,6391,12,0.4,31880,35018,0
Clawkun,Midlane,Novaria,1.3,9839,15,0.57,50526,20613,0
Aboy,Midlane,Luo Yi,18.0,11752,15,0.86,69479,39160,2716
Clawkun,Midlane,Valentina,12.0,9301,15,0.8,51160,62709,808
Aboy,Midlane,Faramis,0.5,8160,14,0.5,40496,63606,0
Aboy,Midlane,Luo Yi,8.0,11682,15,1.0,85583,49986,1140
Clawkun,Midlane,Novaria,17.0,13506,15,0.95,74072,16256,1503
Aboy,Midlane,Luo Yi,4.0,10861,15,0.86,79455,79887,0
Clawkun,Midlane,Novaria,14.0,17907,15,0.78,144530,28325,393
Aboy,Midlane,Luo Yi,4.7,17191,15,0.82,91743,106017,4455
Sanz,Midlane,Pharsa,8.0,10404,15,0.72,86870,21250,1890
Clawkun,Midlane,Valentina,11.0,8113,15,0.89,39550,60045,1595
Sanz,Midlane,Pharsa,13.0,11259,15,0.72,58882,26741,807
Clawkun,Midlane,Valentina,2.7,10421,15,0.89,68502,74401,1912
Sanz,Midlane,Pharsa,13.0,13585,15,0.68,80669,42881,1779
Clawkun,Midlane,Valentina,1.8,12192,15,0.82,73512,78733,1854
Clawkun,Midlane,Faramis,14.0,10496,15,0.82,65938,57691,2080
Sanz,Midlane,Valentina,0.0,11998,15,0.0,65437,50191,368
Clawkun,Midlane,Faramis,10.0,10569,15,0.91,52270,58327,526
Clawkun,Midlane,Valentina,2.0,7650,14,0.89,36262,48107,0
