Role,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,Performance
Jungler,low,NaN,low,low,NaN,low,NaN,bad
Jungler,low,NaN,low,low,NaN,medium,NaN,bad
Jungler,low,NaN,low,low,NaN,high,NaN,bad
Jungler,low,NaN,low,medium,NaN,low,NaN,bad
Jungler,low,NaN,low,medium,NaN,medium,NaN,decent
Jungler,low,NaN,low,medium,NaN,high,NaN,bad
Jungler,low,NaN,low,high,NaN,low,NaN,bad
Jungler,low,NaN,low,high,NaN,medium,NaN,bad
Jungler,low,NaN,low,high,NaN,high,NaN,good
Jungler,low,NaN,medium,low,NaN,low,NaN,bad
Jungler,low,NaN,medium,low,NaN,medium,NaN,decent
Jungler,low,NaN,medium,low,NaN,high,NaN,bad
Jungler,low,NaN,medium,medium,NaN,low,NaN,decent
Jungler,low,NaN,medium,medium,NaN,medium,NaN,decent
Jungler,low,NaN,medium,medium,NaN,high,NaN,decent
Jungler,low,NaN,medium,high,NaN,low,NaN,bad
Jungler,low,NaN,medium,high,NaN,medium,NaN,decent
Jungler,low,NaN,medium,high,NaN,high,NaN,good
Jungler,low,NaN,high,low,NaN,low,NaN,bad
Jungler,low,NaN,high,low,NaN,medium,NaN,bad
Jungler,low,NaN,high,low,NaN,high,NaN,good
Jungler,low,NaN,high,medium,NaN,low,NaN,bad
Jungler,low,NaN,high,medium,NaN,medium,NaN,decent
Jungler,low,NaN,high,medium,NaN,high,NaN,good
Jungler,low,NaN,high,high,NaN,low,NaN,good
Jungler,low,NaN,high,high,NaN,medium,NaN,good
Jungler,low,NaN,high,high,NaN,high,NaN,good
Jungler,medium,NaN,low,low,NaN,low,NaN,bad
Jungler,medium,NaN,low,low,NaN,medium,NaN,decent
Jungler,medium,NaN,low,low,NaN,high,NaN,bad
Jungler,medium,NaN,low,medium,NaN,low,NaN,decent
Jungler,medium,NaN,low,medium,NaN,medium,NaN,decent
Jungler,medium,NaN,low,medium,NaN,high,NaN,decent
Jungler,medium,NaN,low,high,NaN,low,NaN,bad
Jungler,medium,NaN,low,high,NaN,medium,NaN,decent
Jungler,medium,NaN,low,high,NaN,high,NaN,good
Jungler,medium,NaN,medium,low,NaN,low,NaN,decent
Jungler,medium,NaN,medium,low,NaN,medium,NaN,decent
Jungler,medium,NaN,medium,low,NaN,high,NaN,decent
Jungler,medium,NaN,medium,medium,NaN,low,NaN,decent
Jungler,medium,NaN,medium,medium,NaN,medium,NaN,decent
Jungler,medium,NaN,medium,medium,NaN,high,NaN,decent
Jungler,medium,NaN,medium,high,NaN,low,NaN,decent
Jungler,medium,NaN,medium,high,NaN,medium,NaN,decent
Jungler,medium,NaN,medium,high,NaN,high,NaN,good
Jungler,medium,NaN,high,low,NaN,low,NaN,bad
Jungler,medium,NaN,high,low,NaN,medium,NaN,decent
Jungler,medium,NaN,high,low,NaN,high,NaN,good
Jungler,medium,NaN,high,medium,NaN,low,NaN,decent
Jungler,medium,NaN,high,medium,NaN,medium,NaN,decent
Jungler,medium,NaN,high,medium,NaN,high,NaN,good
Jungler,medium,NaN,high,high,NaN,low,NaN,good
Jungler,medium,NaN,high,high,NaN,medium,NaN,good
