Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret
Vyn,Roamer,Minotaur,0.6,4246,10,0.75,12750,64067,0
Vyn,Roamer,Chip,2.0,9666,15,0.63,35082,146990,38
Baloyskie,Roamer,Franco,3.4,8745,15,0.81,15752,118654,745
Vyn,Roamer,Minotaur,2.9,10600,15,0.87,24267,137959,1294
Dreams,Roamer,Minotaur,2.0,7733,13,0.8,12391,88890,2663
Kiboy,Roamer,Chip,1.6,8523,15,0.65,35643,119197,29
Baloyskie,Roamer,Ruby,3.2,8283,14,0.68,16158,79326,0
Kiboy,Roamer,Chip,1.9,8981,15,0.68,43115,199187,0
Baloyskie,Roamer,Ruby,1.5,9909,15,0.5,16530,127021,1588
Kiboy,Roamer,Ruby,4.0,9721,15,0.76,25765,102078,1414
Baloyskie,Roamer,Franco,1.6,8267,15,0.73,16785,90117,0
Kiboy,Roamer,Edith,2.0,7419,14,0.75,20789,89495,696
Kyy,Roamer,Franco,1.0,5135,11,0.8,10031,53819,0
Dreams,Roamer,Minotaur,7.0,7472,14,0.82,22360,79755,724
Kyy,Roamer,Chip,1.0,5929,12,0.75,32814,117822,0
Dreams,Roamer,Edith,3.8,9220,15,0.88,37426,80070,4157
Kyy,Roamer,Chip,5.7,8368,14,0.85,42622,112275,960
Kyy,Roamer,Edith,2.0,5493,11,0.67,14798,45323,590
Kyy,Roamer,Chip,1.0,7428,13,0.67,37873,99514,0
Kyy,Roamer,Minotaur,0.5,11130,15,0.43,17575,193739,0
Baloyskie,Roamer,Chip,6.5,12626,15,0.87,44204,177644,114
Dreams,Roamer,Edith,1.0,6087,11,0.8,19042,68891,0
Kiboy,Roamer,Ruby,6.0,6831,13,0.86,18949,64048,795
Dreams,Roamer,Edith,0.5,5858,12,0.4,17570,46934,0
Kiboy,Roamer,Edith,3.3,5897,11,0.71,16316,54152,542
Dreams,Roamer,Ruby,1.0,8117,15,0.71,24232,91100,0
Baloyskie,Roamer,Edith,5.7,10635,15,0.81,35313,116451,3840
Dreams,Roamer,Chip,8.0,7469,14,0.53,26888,53273,292
Baloyskie,Roamer,Minotaur,0.7,6511,12,1.0,7422,72987,0
Baloyskie,Roamer,Ruby,4.3,8571,15,0.81,18013,75562,164
Dreams,Roamer,Minotaur,4.0,9750,15,0.67,20710,135629,0
Baloyskie,Roamer,Ruby,1.0,7897,15,0.36,15317,103851,806
Dreams,Roamer,Chip,2.0,13957,15,0.67,50114,204203,155
Kiboy,Roamer,Ruby,0.6,6690,13,0.78,18745,86955,0
Dreams,Roamer,Minotaur,4.0,7511,14,0.78,8422,73050,150
Kiboy,Roamer,Edith,7.0,9619,15,0.78,37189,120603,2127
Dreams,Roamer,Ruby,1.8,8942,15,0.78,11998,94651,0
Dreams,Roamer,Minotaur,1.8,9586,15,0.64,16780,180854,0
Kiboy,Roamer,Ruby,1.3,6683,13,0.8,18743,86952,0
Dreams,Roamer,Franco,5.0,7913,15,0.59,10605,54415,157
Dreams,Roamer,Franco,10.0,10843,15,0.91,14962,80277,162
